AKPAR
185369
185370
185374
185416
185417
185418
185428
185429
185430
185433
185435
185436
185437
185438
185439
185440
185441
185442
185443
185444
185445
185446
185447
185448
185449
185450
185451
185452
185453
185454
185455
185456
185457
185459
185460
185536
185568
185569
185573
188446
188550
188556
188557
188558
188559
188560
188561
188563
188564
188565
188566
188567
188568
188569
188570
188571
188572
188573
188574
188575
188576
188578
188579
188580
188581
188679
188681
188682
188698
188699
188715
188730
188731
188732
188733
188734
188735
188736
188738
188739
188740
188743
188745
188830
188831
188832
188833
188850
188851
188852
188853
188854
188855
189329
189332
189333
189334
189335
189336
189337
189338
189339
189340
189341
189361
189362
189363
189364
189366
189367
189412
189414
189415
189416
189417
189418
189419
189420
189422
189423
189425
189426
189427
189430
189435
189436
189440
189441
189442
189443
189444
189445
189446
189482
189490
189491
189492
189493
190534
198023
198151
208363
208364
209798
216482
219314
220039
224833
224834
300475
303313
303314
311775
311776
311952
311953
311954
312032
312033
